km_marker,km,health_score,risk_score,confidence,traffic_zone,train_speed,trend,recommended_action,visual_defect,visual_severity,visual_confidence,sensor_agrees,vision_agrees,fused_confidence,fusion_verdict
KM_210,210,78.3,83.4,68.7%,High Traffic,120 km/h,Slowly Declining,🔴 REPAIR WITHIN 24 HOURS,weld_defect,0.9,76.7,True,True,87.7,🔴 VERIFIED ISSUE — Both Sensor & Vision Confirm
KM_850,850,26.8,82.6,89.3%,Medium Traffic,80 km/h,Rapidly Deteriorating,🔴 REPAIR WITHIN 24 HOURS,missing_bolt,0.75,93.1,True,True,99.0,🔴 VERIFIED ISSUE — Both Sensor & Vision Confirm
KM_970,970,72.9,82.0,70.8%,High Traffic,120 km/h,Stable,🔴 REPAIR WITHIN 24 HOURS,no_defect,0.0,92.0,True,False,86.4,🟡 SENSOR ALERT — Awaiting Visual Confirmation
KM_920,920,72.0,82.0,71.2%,High Traffic,120 km/h,Stable,🔴 REPAIR WITHIN 24 HOURS,no_defect,0.0,96.6,True,False,88.9,🟡 SENSOR ALERT — Awaiting Visual Confirmation
KM_180,180,68.4,82.0,72.6%,High Traffic,120 km/h,Stable,🔴 REPAIR WITHIN 24 HOURS,no_defect,0.0,91.3,True,False,86.9,🟡 SENSOR ALERT — Awaiting Visual Confirmation
KM_880,880,79.5,81.7,68.2%,High Traffic,120 km/h,Slowly Declining,🔴 REPAIR WITHIN 24 HOURS,no_defect,0.0,96.9,True,False,87.6,🟡 SENSOR ALERT — Awaiting Visual Confirmation
KM_1020,1020,79.6,81.6,68.2%,High Traffic,120 km/h,Slowly Declining,🔴 REPAIR WITHIN 24 HOURS,no_defect,0.0,94.0,True,False,86.1,🟡 SENSOR ALERT — Awaiting Visual Confirmation
KM_1210,1210,79.9,81.1,68.0%,High Traffic,120 km/h,Slowly Declining,🔴 REPAIR WITHIN 24 HOURS,rail_corrosion,0.6,82.7,True,True,90.3,🔴 VERIFIED ISSUE — Both Sensor & Vision Confirm
KM_1230,1230,80.1,80.9,67.7%,High Traffic,120 km/h,Slowly Declining,🔴 REPAIR WITHIN 24 HOURS,no_defect,0.0,91.5,True,False,84.6,🟡 SENSOR ALERT — Awaiting Visual Confirmation
KM_960,960,80.2,80.7,67.3%,High Traffic,120 km/h,Slowly Declining,🔴 REPAIR WITHIN 24 HOURS,no_defect,0.0,93.3,True,False,85.3,🟡 SENSOR ALERT — Awaiting Visual Confirmation
KM_400,400,77.2,78.9,69.1%,High Traffic,120 km/h,Stable,🟠 SCHEDULE REPAIR WITHIN 72 HOURS,no_defect,0.0,95.3,True,False,87.2,🟡 SENSOR ALERT — Awaiting Visual Confirmation
KM_740,740,77.7,78.2,68.9%,High Traffic,120 km/h,Stable,🟠 SCHEDULE REPAIR WITHIN 72 HOURS,no_defect,0.0,95.4,True,False,87.2,🟡 SENSOR ALERT — Awaiting Visual Confirmation
KM_1080,1080,52.6,77.6,79.0%,Medium Traffic,80 km/h,Deteriorating,🟠 SCHEDULE REPAIR WITHIN 72 HOURS,missing_bolt,0.75,72.1,True,True,90.5,🔴 VERIFIED ISSUE — Both Sensor & Vision Confirm
KM_230,230,78.2,77.5,68.7%,High Traffic,120 km/h,Stable,🟠 SCHEDULE REPAIR WITHIN 72 HOURS,no_defect,0.0,94.2,True,False,86.5,🟡 SENSOR ALERT — Awaiting Visual Confirmation
KM_780,780,79.5,75.7,68.2%,High Traffic,120 km/h,Stable,🟠 SCHEDULE REPAIR WITHIN 72 HOURS,no_defect,0.0,91.0,True,False,84.6,🟡 SENSOR ALERT — Awaiting Visual Confirmation
KM_750,750,79.9,75.1,68.0%,High Traffic,120 km/h,Stable,🟠 SCHEDULE REPAIR WITHIN 72 HOURS,no_defect,0.0,96.2,True,False,87.1,🟡 SENSOR ALERT — Awaiting Visual Confirmation
KM_50,50,79.9,75.1,68.0%,High Traffic,120 km/h,Stable,🟠 SCHEDULE REPAIR WITHIN 72 HOURS,ballast_void,0.5,70.9,True,True,84.5,🔴 VERIFIED ISSUE — Both Sensor & Vision Confirm
KM_160,160,84.2,75.1,53.7%,High Traffic,120 km/h,Slowly Declining,🟠 SCHEDULE REPAIR WITHIN 72 HOURS,missing_bolt,0.75,93.4,True,True,88.6,🔴 VERIFIED ISSUE — Both Sensor & Vision Confirm
KM_490,490,84.5,74.7,52.7%,High Traffic,120 km/h,Slowly Declining,🟠 SCHEDULE REPAIR WITHIN 72 HOURS,rail_corrosion,0.6,77.2,True,True,80.0,🔴 VERIFIED ISSUE — Both Sensor & Vision Confirm
KM_250,250,84.7,74.4,52.0%,High Traffic,120 km/h,Slowly Declining,🟠 SCHEDULE REPAIR WITHIN 72 HOURS,no_defect,0.0,90.7,True,False,76.3,🟡 SENSOR ALERT — Awaiting Visual Confirmation
KM_830,830,73.1,72.6,70.8%,Medium Traffic,80 km/h,Slowly Declining,🟠 SCHEDULE REPAIR WITHIN 72 HOURS,no_defect,0.0,96.5,True,False,88.7,🟡 SENSOR ALERT — Awaiting Visual Confirmation
KM_1030,1030,71.0,72.6,71.6%,Medium Traffic,80 km/h,Slowly Declining,🟠 SCHEDULE REPAIR WITHIN 72 HOURS,no_defect,0.0,96.5,True,False,89.0,🟡 SENSOR ALERT — Awaiting Visual Confirmation
KM_820,820,75.3,72.2,69.9%,Medium Traffic,80 km/h,Slowly Declining,🟠 SCHEDULE REPAIR WITHIN 72 HOURS,no_defect,0.0,96.7,True,False,88.3,🟡 SENSOR ALERT — Awaiting Visual Confirmation
KM_200,200,82.4,71.6,59.8%,High Traffic,120 km/h,Stable,🟠 SCHEDULE REPAIR WITHIN 72 HOURS,no_defect,0.0,98.9,True,False,84.3,🟡 SENSOR ALERT — Awaiting Visual Confirmation
KM_1040,1040,76.2,70.9,69.5%,Medium Traffic,80 km/h,Slowly Declining,🟠 SCHEDULE REPAIR WITHIN 72 HOURS,no_defect,0.0,91.9,True,False,85.7,🟡 SENSOR ALERT — Awaiting Visual Confirmation
KM_730,730,84.3,69.0,53.4%,High Traffic,120 km/h,Stable,🟠 SCHEDULE REPAIR WITHIN 72 HOURS,no_defect,0.0,91.0,True,False,77.2,🟡 SENSOR ALERT — Awaiting Visual Confirmation
KM_570,570,54.9,68.8,78.0%,Low Traffic,50 km/h,Rapidly Deteriorating,🟠 SCHEDULE REPAIR WITHIN 72 HOURS,missing_bolt,0.75,75.3,True,True,91.7,🔴 VERIFIED ISSUE — Both Sensor & Vision Confirm
KM_580,580,39.0,68.8,84.4%,Low Traffic,50 km/h,Rapidly Deteriorating,🟠 SCHEDULE REPAIR WITHIN 72 HOURS,surface_crack,0.85,78.1,True,True,96.2,🔴 VERIFIED ISSUE — Both Sensor & Vision Confirm
KM_320,320,37.7,68.8,84.9%,Low Traffic,50 km/h,Rapidly Deteriorating,🟠 SCHEDULE REPAIR WITHIN 72 HOURS,no_defect,0.0,96.9,True,False,95.9,🟡 SENSOR ALERT — Awaiting Visual Confirmation
KM_1050,1050,75.3,66.2,69.9%,Medium Traffic,80 km/h,Stable,🟠 SCHEDULE REPAIR WITHIN 72 HOURS,no_defect,0.0,90.9,True,False,85.4,🟡 SENSOR ALERT — Awaiting Visual Confirmation
KM_80,80,75.7,65.6,69.7%,Medium Traffic,80 km/h,Stable,🟠 SCHEDULE REPAIR WITHIN 72 HOURS,weld_defect,0.9,81.7,True,True,90.7,🔴 VERIFIED ISSUE — Both Sensor & Vision Confirm
KM_1070,1070,76.1,65.0,69.6%,Medium Traffic,80 km/h,Stable,🟠 SCHEDULE REPAIR WITHIN 72 HOURS,no_defect,0.0,96.0,True,False,87.8,🟡 SENSOR ALERT — Awaiting Visual Confirmation
KM_1090,1090,80.7,64.6,65.6%,Medium Traffic,80 km/h,Slowly Declining,🟠 SCHEDULE REPAIR WITHIN 72 HOURS,ballast_void,0.5,94.2,True,True,94.9,🔴 VERIFIED ISSUE — Both Sensor & Vision Confirm
KM_130,130,42.9,63.8,82.8%,Low Traffic,50 km/h,Deteriorating,🟠 SCHEDULE REPAIR WITHIN 72 HOURS,no_defect,0.0,96.3,True,False,94.5,🟡 SENSOR ALERT — Awaiting Visual Confirmation
KM_290,290,82.5,62.1,59.5%,Medium Traffic,80 km/h,Slowly Declining,🟠 SCHEDULE REPAIR WITHIN 72 HOURS,no_defect,0.0,91.0,True,False,80.2,🟡 SENSOR ALERT — Awaiting Visual Confirmation
KM_860,860,83.5,60.7,56.1%,Medium Traffic,80 km/h,Slowly Declining,🟠 SCHEDULE REPAIR WITHIN 72 HOURS,no_defect,0.0,92.0,True,False,79.0,🟡 SENSOR ALERT — Awaiting Visual Confirmation
KM_840,840,80.2,59.3,67.3%,Medium Traffic,80 km/h,Stable,🟡 MONITOR CLOSELY — INSPECT NEXT WEEK,no_defect,0.0,90.2,False,False,73.8,🟢 CLEAR — Both Sources Nominal
KM_1150,1150,74.0,58.8,70.4%,Low Traffic,50 km/h,Slowly Declining,🟡 MONITOR CLOSELY — INSPECT NEXT WEEK,no_defect,0.0,94.0,False,False,77.2,🟢 CLEAR — Both Sources Nominal
KM_1180,1180,67.2,58.8,73.1%,Low Traffic,50 km/h,Slowly Declining,🟡 MONITOR CLOSELY — INSPECT NEXT WEEK,no_defect,0.0,96.9,False,False,80.0,🟢 CLEAR — Both Sources Nominal
KM_1110,1110,75.5,58.1,69.8%,Low Traffic,50 km/h,Slowly Declining,🟡 MONITOR CLOSELY — INSPECT NEXT WEEK,no_defect,0.0,98.6,False,False,79.2,🟢 CLEAR — Both Sources Nominal
KM_540,540,80.3,51.4,67.0%,Low Traffic,50 km/h,Slowly Declining,🟡 MONITOR CLOSELY — INSPECT NEXT WEEK,no_defect,0.0,94.4,False,False,75.7,🟢 CLEAR — Both Sources Nominal
KM_1130,1130,81.8,49.3,61.9%,Low Traffic,50 km/h,Slowly Declining,🟡 MONITOR CLOSELY — INSPECT NEXT WEEK,no_defect,0.0,97.7,False,False,74.8,🟢 CLEAR — Both Sources Nominal
KM_1120,1120,83.9,46.4,54.7%,Low Traffic,50 km/h,Slowly Declining,🟡 MONITOR CLOSELY — INSPECT NEXT WEEK,missing_bolt,0.75,92.9,False,True,78.8,🟡 VISUAL ALERT — Sensor Data Nominal
KM_1100,1100,80.0,45.8,68.0%,Low Traffic,50 km/h,Stable,🟡 MONITOR CLOSELY — INSPECT NEXT WEEK,no_defect,0.0,91.3,False,False,74.7,🟢 CLEAR — Both Sources Nominal
KM_550,550,80.3,45.4,67.0%,Low Traffic,50 km/h,Stable,🟡 MONITOR CLOSELY — INSPECT NEXT WEEK,surface_crack,0.85,77.0,False,True,77.0,🟡 VISUAL ALERT — Sensor Data Nominal
KM_300,300,80.9,44.6,64.9%,Low Traffic,50 km/h,Stable,🟡 MONITOR CLOSELY — INSPECT NEXT WEEK,no_defect,0.0,96.4,False,False,75.7,🟢 CLEAR — Both Sources Nominal
KM_1190,1190,81.5,43.7,62.9%,Low Traffic,50 km/h,Stable,🟡 MONITOR CLOSELY — INSPECT NEXT WEEK,no_defect,0.0,96.3,False,False,74.6,🟢 CLEAR — Both Sources Nominal
KM_1140,1140,82.8,41.9,58.5%,Low Traffic,50 km/h,Stable,🟡 MONITOR CLOSELY — INSPECT NEXT WEEK,no_defect,0.0,94.0,False,False,71.2,🟢 CLEAR — Both Sources Nominal
KM_500,500,82.9,41.8,58.1%,Low Traffic,50 km/h,Stable,🟡 MONITOR CLOSELY — INSPECT NEXT WEEK,no_defect,0.0,90.9,False,False,69.5,🟢 CLEAR — Both Sources Nominal
